Id,Id2,Geography,Number; OCCUPANCY STATUS - Total housing units,Percent; OCCUPANCY STATUS - Total housing units,Number; OCCUPANCY STATUS - Total housing units - Occupied housing units,Percent; OCCUPANCY STATUS - Total housing units - Occupied housing units,Number; OCCUPANCY STATUS - Total housing units - Vacant housing units,Percent; OCCUPANCY STATUS - Total housing units - Vacant housing units,Number; TENURE - Occupied housing units,Percent; TENURE - Occupied housing units,Number; TENURE - Occupied housing units - Owner-occupied housing units,Percent; TENURE - Occupied housing units - Owner-occupied housing units,Number; TENURE - Occupied housing units - Renter-occupied housing units,Percent; TENURE - Occupied housing units - Renter-occupied housing units,Number; VACANCY STATUS - Vacant housing units,Percent; VACANCY STATUS - Vacant housing units,Number; VACANCY STATUS - Vacant housing units - For rent,Percent; VACANCY STATUS - Vacant housing units - For rent,Number; VACANCY STATUS - Vacant housing units - For sale only,Percent; VACANCY STATUS - Vacant housing units - For sale only,"Number; VACANCY STATUS - Vacant housing units - Rented or sold, not occupied","Percent; VACANCY STATUS - Vacant housing units - Rented or sold, not occupied","Number; VACANCY STATUS - Vacant housing units - For seasonal, recreational, or occasional use","Percent; VACANCY STATUS - Vacant housing units - For seasonal, recreational, or occasional use",Number; VACANCY STATUS - Vacant housing units - For migratory workers,Percent; VACANCY STATUS - Vacant housing units - For migratory workers,Number; VACANCY STATUS - Vacant housing units - Other vacant,Percent; VACANCY STATUS - Vacant housing units - Other vacant,Number; RACE OF HOUSEHOLDER - Occupied housing units,Percent; RACE OF HOUSEHOLDER - Occupied housing units,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - White,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - White,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - Black or African American,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - Black or African American,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - American Indian and Alaska Native,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - American Indian and Alaska Native,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - Asian,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - Asian,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - Native Hawaiian and Other Pacific Islander,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - Some other race,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - Some other race,Number; RACE OF HOUSEHOLDER - Occupied housing units - Two or more races,Percent; RACE OF HOUSEHOLDER - Occupied housing units - Two or more races,Number; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units,Percent; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units,Number; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Not Hispanic or Latino,Percent; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Not Hispanic or Latino,Number; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Not Hispanic or Latino - White alone,Number; AGE OF HOUSEHOLDER - Occupied housing units,Percent; AGE OF HOUSEHOLDER - Occupied housing units,Number; AGE OF HOUSEHOLDER - Occupied housing units - 15 to 24 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 15 to 24 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 25 to 34 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 25 to 34 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 35 to 44 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 35 to 44 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 45 to 54 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 45 to 54 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 55 to 64 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 55 to 64 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over,Number; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 65 to 74 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 65 to 74 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 75 to 84 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 75 to 84 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 85 years and over,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 85 years and over
8600000US90006,90006,ZCTA5 90006,19792,100,18768,94.8,1024,5.2,18768,100,1633,8.7,17135,91.3,1024,100,667,65.1,70,6.8,63,6.2,28,2.7,0,0,196,19.1,18768,100,17580,93.7,4816,25.7,972,5.2,220,1.2,3680,19.6,18,0.1,7874,42,1188,6.3,18768,100,13088,69.7,5680,30.3,866,4.6,18768,100,1355,7.2,4971,26.5,4716,25.1,3403,18.1,2035,10.8,2288,12.2,1343,7.2,745,4,200,1.1
8600000US90005,90005,ZCTA5 90005,15905,100,15306,96.2,599,3.8,15306,100,1092,7.1,14214,92.9,599,100,408,68.1,22,3.7,26,4.3,40,6.7,1,0.2,102,17,15306,100,14541,95,4410,28.8,1112,7.3,109,0.7,4954,32.4,11,0.1,3945,25.8,765,5,15306,100,7083,46.3,8223,53.7,1919,12.5,15306,100,1273,8.3,4404,28.8,3772,24.6,2421,15.8,1361,8.9,2075,13.6,1054,6.9,763,5,258,1.7
8600000US90004,90004,ZCTA5 90004,23922,100,23066,96.4,856,3.6,23066,100,4096,17.8,18970,82.2,856,100,526,61.4,58,6.8,45,5.3,69,8.1,0,0,158,18.5,23066,100,21729,94.2,8730,37.8,1069,4.6,133,0.6,5664,24.6,28,0.1,6105,26.5,1337,5.8,23066,100,10691,46.3,12375,53.7,5126,22.2,23066,100,1452,6.3,6186,26.8,5935,25.7,4320,18.7,2440,10.6,2733,11.8,1510,6.5,934,4,289,1.3
8600000US90007,90007,ZCTA5 90007,13548,100,12721,93.9,827,6.1,12721,100,1519,11.9,11202,88.1,827,100,425,51.4,61,7.4,126,15.2,38,4.6,1,0.1,176,21.3,12721,100,11964,94,3737,29.4,2257,17.7,94,0.7,1770,13.9,29,0.2,4077,32,757,6,12721,100,6499,51.1,6222,48.9,1847,14.5,12721,100,3063,24.1,3041,23.9,2382,18.7,1766,13.9,1033,8.1,1436,11.3,778,6.1,502,3.9,156,1.2
8600000US90015,90015,ZCTA5 90015,5339,100,4888,91.6,451,8.4,4888,100,508,10.4,4380,89.6,451,100,291,64.5,55,12.2,15,3.3,18,4,0,0,72,16,4888,100,4588,93.9,1507,30.8,216,4.4,50,1,751,15.4,2,0,2062,42.2,300,6.1,4888,100,3497,71.5,1391,28.5,382,7.8,4888,100,534,10.9,1329,27.2,1094,22.4,747,15.3,464,9.5,720,14.7,396,8.1,252,5.2,72,1.5
8600000US20001,20001,ZCTA5 20001,14079,100,11981,85.1,2098,14.9,11981,100,3559,29.7,8422,70.3,2098,100,514,24.5,272,13,402,19.2,42,2,0,0,868,41.4,11981,100,11715,97.8,1103,9.2,9787,81.7,46,0.4,505,4.2,1,0,273,2.3,266,2.2,11981,100,645,5.4,11336,94.6,846,7.1,11981,100,812,6.8,2254,18.8,2447,20.4,2240,18.7,1608,13.4,2620,21.9,1341,11.2,958,8,321,2.7
8600000US80205,80205,ZCTA5 80205,11117,100,10389,93.5,728,6.5,10389,100,4848,46.7,5541,53.3,728,100,255,35,91,12.5,93,12.8,49,6.7,1,0.1,239,32.8,10389,100,10023,96.5,3512,33.8,4597,44.2,107,1,96,0.9,10,0.1,1701,16.4,366,3.5,10389,100,3103,29.9,7286,70.1,2330,22.4,10389,100,731,7,2444,23.5,2178,21,1793,17.3,1201,11.6,2042,19.7,1072,10.3,743,7.2,227,2.2
8600000US75247,75247,ZCTA5 75247,28,100,23,82.1,5,17.9,23,100,15,65.2,8,34.8,5,100,0,0,1,20,0,0,0,0,0,0,4,80,23,100,22,95.7,3,13,16,69.6,0,0,0,0,0,0,3,13,1,4.3,23,100,4,17.4,19,82.6,2,8.7,23,100,1,4.3,1,4.3,5,21.7,6,26.1,4,17.4,6,26.1,2,8.7,1,4.3,3,13
8600000US20005,20005,ZCTA5 20005,6850,100,6266,91.5,584,8.5,6266,100,1157,18.5,5109,81.5,584,100,260,44.5,22,3.8,38,6.5,64,11,0,0,200,34.2,6266,100,5965,95.2,3100,49.5,1996,31.9,31,0.5,435,6.9,6,0.1,397,6.3,301,4.8,6266,100,918,14.7,5348,85.3,2690,42.9,6266,100,687,11,1980,31.6,1343,21.4,904,14.4,527,8.4,825,13.2,417,6.7,281,4.5,127,2
8600000US19133,19133,ZCTA5 19133,10856,100,8631,79.5,2225,20.5,8631,100,4278,49.6,4353,50.4,2225,100,506,22.7,146,6.6,202,9.1,13,0.6,3,0.1,1355,60.9,8631,100,8292,96.1,1331,15.4,3858,44.7,53,0.6,40,0.5,7,0.1,3003,34.8,339,3.9,8631,100,4694,54.4,3937,45.6,218,2.5,8631,100,555,6.4,1599,18.5,1998,23.1,1738,20.1,1294,15,1447,16.8,901,10.4,433,5,113,1.3
8600000US19121,19121,ZCTA5 19121,17537,100,12604,71.9,4933,28.1,12604,100,5274,41.8,7330,58.2,4933,100,631,12.8,153,3.1,404,8.2,18,0.4,6,0.1,3721,75.4,12604,100,12487,99.1,222,1.8,12113,96.1,29,0.2,66,0.5,3,0,54,0.4,117,0.9,12604,100,156,1.2,12448,98.8,199,1.6,12604,100,741,5.9,1802,14.3,2843,22.6,2213,17.6,1726,13.7,3279,26,1688,13.4,1203,9.5,388,3.1
