GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,United States,United States,67871,212
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,56828,414
0100000US,,United States,1600000US0100100,0100100,United States - Alabama - Abanda CDP,Abanda CDP,-,**
0100000US,,United States,1600000US0100124,0100124,United States - Alabama - Abbeville city,Abbeville city,43194,8917
0100000US,,United States,1600000US0100460,0100460,United States - Alabama - Adamsville city,Adamsville city,54590,5326
0100000US,,United States,1600000US0100484,0100484,United States - Alabama - Addison town,Addison town,40000,15661
0100000US,,United States,1600000US0100676,0100676,United States - Alabama - Akron town,Akron town,23056,5513
0100000US,,United States,1600000US0100820,0100820,United States - Alabama - Alabaster city,Alabaster city,81063,4217
0100000US,,United States,1600000US0100988,0100988,United States - Alabama - Albertville city,Albertville city,41832,7987
0100000US,,United States,1600000US0101132,0101132,United States - Alabama - Alexander City city,Alexander City city,36683,3625
0100000US,,United States,1600000US0101180,0101180,United States - Alabama - Alexandria CDP,Alexandria CDP,66346,14303
0100000US,,United States,1600000US0101228,0101228,United States - Alabama - Aliceville city,Aliceville city,22475,4020
0100000US,,United States,1600000US0101396,0101396,United States - Alabama - Allgood town,Allgood town,42292,7489
0100000US,,United States,1600000US0101660,0101660,United States - Alabama - Altoona town,Altoona town,39375,8738
0100000US,,United States,1600000US0101708,0101708,United States - Alabama - Andalusia city,Andalusia city,48005,6074
0100000US,,United States,1600000US0101756,0101756,United States - Alabama - Anderson town,Anderson town,55179,14429
0100000US,,United States,1600000US0101852,0101852,United States - Alabama - Anniston city,Anniston city,42410,3431
0100000US,,United States,1600000US0102116,0102116,United States - Alabama - Arab city,Arab city,57396,5037
0100000US,,United States,1600000US0102260,0102260,United States - Alabama - Ardmore town,Ardmore town,41250,6867
0100000US,,United States,1600000US0102320,0102320,United States - Alabama - Argo town,Argo town,78250,27284
0100000US,,United States,1600000US0102428,0102428,United States - Alabama - Ariton town,Ariton town,45682,17659
0100000US,,United States,1600000US0102500,0102500,United States - Alabama - Arley town,Arley town,49375,20790
0100000US,,United States,1600000US0102836,0102836,United States - Alabama - Ashford town,Ashford town,50034,6001
0100000US,,United States,1600000US0102860,0102860,United States - Alabama - Ashland town,Ashland town,44936,9975
0100000US,,United States,1600000US0102908,0102908,United States - Alabama - Ashville city,Ashville city,54702,6708
0100000US,,United States,1600000US0102956,0102956,United States - Alabama - Athens city,Athens city,61414,6340
0100000US,,United States,1600000US0103004,0103004,United States - Alabama - Atmore city,Atmore city,34812,15375
0100000US,,United States,1600000US0103028,0103028,United States - Alabama - Attalla city,Attalla city,43019,6598
0100000US,,United States,1600000US0103076,0103076,United States - Alabama - Auburn city,Auburn city,75659,9336
0100000US,,United States,1600000US0103220,0103220,United States - Alabama - Autaugaville town,Autaugaville town,42708,17088
0100000US,,United States,1600000US0103364,0103364,United States - Alabama - Avon town,Avon town,47679,20633
0100000US,,United States,1600000US0103508,0103508,United States - Alabama - Axis CDP,Axis CDP,57148,24990
0100000US,,United States,1600000US0103556,0103556,United States - Alabama - Babbie town,Babbie town,48409,9777
0100000US,,United States,1600000US0103676,0103676,United States - Alabama - Baileyton town,Baileyton town,50329,16693
0100000US,,United States,1600000US0103724,0103724,United States - Alabama - Bakerhill town,Bakerhill town,42500,10634
